Data,Arquivo,Publicação,UF,Outras informações,Imagem,Onde está,Destaque,Tipo,Assunto,Complemento,Localização,Interesse,Outras informações
1975.12.06,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4387111.png,"Terceira coluna geral, segundo item",4387111h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.12.07,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4387510.png,"Terceira coluna geral, primeiro item",4387510h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.12.13,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4388860.png,"Teatro, Infantis, sexto item",4388860h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.12.20,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4411435.png,"Teatro, Infantis, sexto item",4411435h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.12.27,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4413029.png,"Teatro, Infantis, quinto item",4413029h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.12.28,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4413250.png,"Teatro, Infantis, quinto item",4413250h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1976.01.03,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4220690.png,"Teatro, Infantis, segunda coluna, primeiro item",4220690h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1976.01.04,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4221224.png,"Teatro, Infantis, antepenultimo item",4221224h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1976.01.10,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4223859.png,"Teatro, Infantis, segunda coluna, quarto item",4223859h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1976.01.11,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4224558.png,"Teatro, Infantis, quinto item",4224558h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1976.03.20,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4275209.png,"Teatro, Infantis, primeiro item",4275209h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.03.21,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4275786.png,"Teatro, Infantis, primeiro item",4275786h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.03.28,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4278734.png,"Teatro, Infantis, primeiro item",4278734h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.04.03,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4235400.png,"Teatro, Infantis, segundo item",4235400h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.04.04,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4235695.png,"Teatro, Infantis, segundo item",4235695h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.04.10,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4236997.png,"Teatro, Infantis, terceiro item",4236997h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.04.11,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4237312.png,"Teatro, Infantis, segunda coluna, primeiro item",4237312h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.04.17,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4280072.png,"Teatro, Infantis, segunda coluna, primeiro item",4280072h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.04.24,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4281856.png,"Teatro, Infantis, segunda coluna, quarto item",4281856h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
