Data,Arquivo,Publicação,UF,Outras informações da publicação,Tipo,Assunto,Complemento,Localização,Recorte,Interesse,Imagem original,Onde está,Mais
1976.01.03,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4220690h.png,Baixo,4220690.png,"Teatro, Infantis, segunda coluna, primeiro item",
1976.01.04,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4221224h.png,Baixo,4221224.png,"Teatro, Infantis, antepenultimo item",
1976.01.10,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4223859h.png,Baixo,4223859.png,"Teatro, Infantis, segunda coluna, quarto item",
1976.01.11,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4224558h.png,Baixo,4224558.png,"Teatro, Infantis, quinto item",
1976.03.20,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4275209h.png,Baixo,4275209.png,"Teatro, Infantis, primeiro item",
1976.03.21,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4275786h.png,Baixo,4275786.png,"Teatro, Infantis, primeiro item",
1976.03.28,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4278734h.png,Baixo,4278734.png,"Teatro, Infantis, primeiro item",
1976.04.03,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4235400h.png,Baixo,4235400.png,"Teatro, Infantis, segundo item",
1976.04.04,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4235695h.png,Baixo,4235695.png,"Teatro, Infantis, segundo item",
1976.04.10,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4236997h.png,Baixo,4236997.png,"Teatro, Infantis, terceiro item",
1976.04.11,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4237312h.png,Baixo,4237312.png,"Teatro, Infantis, segunda coluna, primeiro item",
1976.04.17,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4280072h.png,Baixo,4280072.png,"Teatro, Infantis, segunda coluna, primeiro item",
1976.04.24,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4281856h.png,Baixo,4281856.png,"Teatro, Infantis, segunda coluna, quarto item",
1976.04.25,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4282235h.png,Baixo,4282235.png,"Teatro, Infantis, segunda coluna, terceiro item",
1976.05.01,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4239045h.png,Baixo,4239045.png,"Teatro, Infantis, segunda coluna, segundo item",
1976.05.02,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",4239168h.png,Baixo,4239168.png,"Teatro, Infantis, segunda coluna, primeiro item",
1977.05.24,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Show,Movimento Ensaio na Praça,Grupo Lwalaba e outros,"Teatro da Praça – Rua Apa, 298, Campos Elíseos, São Paulo, SP",4317199h.png,Baixo,4317199.png,"Acontece, Música, Festança",
1977.05.30,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Show,Movimento Ensaio na Praça,Grupo Lwalaba (foto) e outros,"Teatro da Praça – Rua Apa, 298, Campos Elíseos, São Paulo, SP",4318401h.png,Médio,4318401.png,"No chorinho, os Encontros Nacional e Paulista",
1977.05.31,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Show,Movimento Ensaio na Praça,Grupo Lwalaba e Eliane Estevão,"Teatro da Praça – Rua Apa, 298, Campos Elíseos, São Paulo, SP",4318583h.png,Baixo,4318583.png,"Acontece, Música, Festança",
1977.09.09,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Show,Movimento Ensaio na Praça,Grupo Lwalaba e Eliane Estevão,"Teatro da Praça – Rua Apa, 298, Campos Elíseos, São Paulo, SP",4261956h.png,Médio,4261956.png,"Para quem vai sair, África e Nordeste numa Festança à meia-noite",
